,role,situated_at,unit_id,IS
279,Rector's delegate for Environmental Sustainability,University of Trento,STO0000001,Rector'sdelegateforEnvironmentalSustainabilitySTO0000001
280,Deputy coordinator,"PhD programme (Ministerial Decree 45/2013) - Sustainability: Economics, Environment, Management and Society",STO0013318,DeputycoordinatorSTO0013318
281,Full professor,"PhD programme (Ministerial Decree 45/2013) - Sustainability: Economics, Environment, Management and Society",STO0013318,FullprofessorSTO0013318
282,Member,Board of Directors,ORI0000003,MemberORI0000003
283,President,Council of Directors,ORI0000101,PresidentORI0000101
284,President,Academic Senate,ORI0000002,PresidentORI0000002
285,Rector,University of Trento,STO0000001,RectorSTO0000001
286,Head,Rectorate,STO0000006,HeadSTO0000006
287,Full professor,Rectorate,STO0000006,FullprofessorSTO0000006
288,Director,Centre of Security and Crime Sciences,STO0013532,DirectorSTO0013532
289,Head,Teaching and Research Quality Assurance,STO0008861,HeadSTO0008861
290,Head,ICT Services Division,STO0012556,HeadSTO0012556
291,Head,ICT Services Division - Trento,STO0008874,HeadSTO0008874
292,Staff,ICT Services Division,STO0012556,StaffSTO0012556
293,Head,Payroll,STO0000237,HeadSTO0000237
294,Staff,Payroll,STO0000237,StaffSTO0000237
295,Head,Teaching and Research Laboratories,STO0008878,HeadSTO0008878
296,Head,Strategic research programmes office,STO0013747,HeadSTO0013747
297,Staff,Strategic research programmes office,STO0013747,StaffSTO0013747
298,Head,Building management - Trento,STO0000241,HeadSTO0000241
299,Staff,Building management - Trento,STO0000241,StaffSTO0000241
300,Staff,International Mobility Staff - Cognitive Science Area,STO0008934,StaffSTO0008934
301,Head,"Student Support Service: Psychology and Cognitive Science, Mind and Brain Centre",STO0008935,HeadSTO0008935
302,Head,Education and Student Services - Cognitive Science Area,STO0008927,HeadSTO0008927
303,Head,Teacher Training and Qualifications,STO0008919,HeadSTO0008919
304,Staff,Education and Student Services - Cognitive Science Area,STO0008927,StaffSTO0008927
305,Staff,Teacher Training and Qualifications,STO0008919,StaffSTO0008919
306,Staff,Press office and External relations,STO0000217,StaffSTO0000217
307,Students' representative,School of International Studies - Council,ORI0000271,Students'representativeORI0000271
308,Member,Student Council,ORI0000004,MemberORI0000004
309,Research collaborator,Department of Mathematics,STO0008628,ResearchcollaboratorSTO0008628
310,Staff,Collegial Bodies and Programmatic Agreements,STO0000268,StaffSTO0000268
311,Assistant professor,Department of Industrial Engineering,STO0008625,AssistantprofessorSTO0008625
312,Staff,Sports office,STO0013544,StaffSTO0013544
313,Staff,Architecture Division,STO0012899,StaffSTO0012899
314,Assistant professor,Centre Agriculture Food Environment - C3A,STO0012250,AssistantprofessorSTO0012250
315,Collaborator,Department of Industrial Engineering,STO0008625,CollaboratorSTO0008625
316,Visiting professor,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,VisitingprofessorSTO0008662
317,Staff,Scientific Publications Office,STO0013558,StaffSTO0013558
318,Member,Research Ethics Committee,ORI0000283,MemberORI0000283
319,Alternate member,Data Protection Committee,ORI0000285,AlternatememberORI0000285
320,Coordinator,Doctoral programme - Sociology and Social Research (Doctoral School of Social Sciences),STO0004802,CoordinatorSTO0004802
321,Full professor,Doctoral programme - Sociology and Social Research (Doctoral School of Social Sciences),STO0004802,FullprofessorSTO0004802
322,Students' representative,Sociology and Social Research - Department Council,ORI0000268,Students'representativeORI0000268
323,Students' representative,Physics - Department Council,ORI0000265,Students'representativeORI0000265
324,Staff,Electronics and Design Planning,STO0000335,StaffSTO0000335
325,Staff,Purchasing Directorate,STO0000861,StaffSTO0000861
326,Senior Professor,Department of Sociology and social research,STO0008630,SeniorProfessorSTO0008630
327,Senior Professor,School of International Studies - SIS,STO0008633,SeniorProfessorSTO0008633
328,Staff,CIBIO - Department Staff,STO0008915,StaffSTO0008915
329,Teaching fellow,Department of Mathematics,STO0008628,TeachingfellowSTO0008628
330,Staff,Technical support and Relations with schools,STO0008900,StaffSTO0008900
331,Staff,BUD - University Digital Library,STO0012834,StaffSTO0012834
332,Staff,Building management - Povo-Mesiano,STO0000242,StaffSTO0000242
333,Guest,Centre for Medical Sciences - CISMED,STO0013533,GuestSTO0013533
334,Rector's delegate for IT Services and Technologies,University of Trento,STO0000001,Rector'sdelegateforITServicesandTechnologiesSTO0000001
335,Head,School of International Studies - Staff,STO0008917,HeadSTO0008917
336,Staff,School of International Studies - Staff,STO0008917,StaffSTO0008917
337,Head,Directorate of Research Services and Valorization,STO0013546,HeadSTO0013546
338,Staff,Directorate of Research Services and Valorization,STO0013546,StaffSTO0013546
339,Senior staff,Directorate of Research Services and Valorization,STO0013546,SeniorstaffSTO0013546
340,Member,Joint Committee for the Right to Study and the Valorization of Merit,ORI0000141,MemberORI0000141
341,Head,Education and Student Services Management,STO0000947,HeadSTO0000947
342,Staff,Education and Student Services Management,STO0000947,StaffSTO0000947
343,Senior staff,Education and Student Services Management,STO0000947,SeniorstaffSTO0000947
344,Head,Administration Division,STO0000864,HeadSTO0000864
345,Staff,Administration Division,STO0000864,StaffSTO0000864
346,Head,"Application Services Division - Education, Research and Knowledge",STO0012555,HeadSTO0012555
347,Staff,"Application Services Division - Education, Research and Knowledge",STO0012555,StaffSTO0012555
348,Head,Human Resources and Organization,STO0000143,HeadSTO0000143
349,Senior staff,Human Resources and Organization,STO0000143,SeniorstaffSTO0000143
350,Director,"Department of Civil, Environmental and Mechanical Engineering",STO0008626,DirectorSTO0008626
351,Staff,ICT Services Division -  Povo-Mesiano,STO0008876,StaffSTO0008876
352,Head,"Application Services Division - Administration, Interoperability and Platforms",STO0012558,HeadSTO0012558
353,Staff,"Application Services Division - Administration, Interoperability and Platforms",STO0012558,StaffSTO0012558
354,Research collaborator,Department of Sociology and social research,STO0008630,ResearchcollaboratorSTO0008630
355,Head,Press office and External relations,STO0000217,HeadSTO0000217
356,Head,"Monitoring, Statistics and Policy Development Unit",STO0000267,HeadSTO0000267
357,Staff,Office of the Directorate of Research Services and Valorization,STO0013626,StaffSTO0013626
358,Head,BUD - University Digital Library,STO0012834,HeadSTO0012834
359,Staff,Information services in support of academic activities,STO0012559,StaffSTO0012559
360,Staff,Prevention and Protection Service,STO0000123,StaffSTO0000123
361,Head,Social security,STO0000238,HeadSTO0000238
362,Head,Youth projects office,STO0013745,HeadSTO0013745
363,Staff,Youth projects office,STO0013745,StaffSTO0013745
364,Head,International Relations,STO0012564,HeadSTO0012564
365,Rector's delegate for the Collegio Bernardo Clesio,University of Trento,STO0000001,Rector'sdelegatefortheCollegioBernardoClesioSTO0000001
366,Coordinator,"Doctoral programme вЂ“ Materials, Mechatronics and Systems Engineering",STO0009701,CoordinatorSTO0009701
367,Full professor,"Doctoral programme вЂ“ Materials, Mechatronics and Systems Engineering",STO0009701,FullprofessorSTO0009701
368,Staff,Support to the Evaluation Group,STO0012549,StaffSTO0012549
369,Adjunct professor,Department of Information Engineering and Computer Science,STO0008629,AdjunctprofessorSTO0008629
370,Deputy coordinator,Doctoral programme - Development Economics and Local Systems,STO0010819,DeputycoordinatorSTO0010819
371,Associate professor,Doctoral programme - Development Economics and Local Systems,STO0010819,AssociateprofessorSTO0010819
372,Staff,Branding and Graphic Design Office,STO0000946,StaffSTO0000946
373,Head,"Service Desk, Service Catalog and  ICT Training",STO0011925,HeadSTO0011925
374,Staff,"Service Desk, Service Catalog and  ICT Training",STO0011925,StaffSTO0011925
375,Head,Education and Student Services - Science and Technology Area,STO0008925,HeadSTO0008925
376,Staff,Education and Student Services - Science and Technology Area,STO0008925,StaffSTO0008925
377,Teaching fellow,University of Trento,STO0000001,TeachingfellowSTO0000001
378,Head,Email and Collaboration Services,STO0012561,HeadSTO0012561
379,Staff,Email and Collaboration Services,STO0012561,StaffSTO0012561
380,Head,ICT Services Division -  Povo-Mesiano,STO0008876,HeadSTO0008876
381,Head,Physics - Department Staff,STO0008892,HeadSTO0008892
382,Staff,Physics - Department Staff,STO0008892,StaffSTO0008892
383,Deputy dean,School of International Studies - SIS,STO0008633,DeputydeanSTO0008633
384,Rector's delegate for Legal Affairs,University of Trento,STO0000001,Rector'sdelegateforLegalAffairsSTO0000001
385,Member,Sports council,ORI0000279,MemberORI0000279
386,Member,Library Committee,ORI0000081,MemberORI0000081
387,Staff,Employee Relations and Payroll Division - Technical and Administrative Staff,STO0000879,StaffSTO0000879
388,Head,Administration and Accounting Office - Estates Directorate,STO0000901,HeadSTO0000901
389,Staff,Science and Technology Area - PhD Office,STO0008926,StaffSTO0008926
390,Staff,Middleware development,STO0012563,StaffSTO0012563
391,Associate professor,School of International Studies - SIS,STO0008633,AssociateprofessorSTO0008633
392,Vice-Rector for Equity and Diversity Policies,University of Trento,STO0000001,Vice-RectorforEquityandDiversityPoliciesSTO0000001
393,Students' representative,CIBIO - Council,ORI0000272,Students'representativeORI0000272
394,Staff,Funded research staff - Rovereto,STO0008883,StaffSTO0008883
395,Research grant holder,"Department of Cellular, Computational and Integrative Biology - CIBIO",STO0008662,ResearchgrantholderSTO0008662
396,External staff,CeRiN - Center for Neurocognitive Rehabilitation,STO0001821,ExternalstaffSTO0001821
397,Staff,Sociology and Social Research - Department Staff,STO0008905,StaffSTO0008905
398,Head,National/International Interlibrary Loan Office,STO0000256,HeadSTO0000256
